City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,298.47,69,27,7.19,YE,1701463667
1,avarua,-21.2078,-159.775,300.18,86,100,8.23,CK,1701463667
2,blackmans bay,-43.0167,147.3167,285.78,90,100,1.07,AU,1701463668
3,waitangi,-43.9535,-176.5597,286.38,72,46,2.24,NZ,1701463668
4,weno,7.4515,151.8468,300.12,89,75,1.54,FM,1701463668
5,aasiaat,68.7098,-52.8699,265.29,85,62,3.35,GL,1701463668
6,port mathurin,-19.6833,63.4167,298.73,83,7,5.99,MU,1701463668
7,ushuaia,-54.8,-68.3,283.94,70,75,8.23,AR,1701463669
8,tubarjal,30.4999,38.216,288.85,46,0,3.52,SA,1701463669
9,whitehorse,60.7161,-135.0538,263.2,84,75,3.09,CA,1701463669
10,san diego de la union,21.4667,-100.8667,294.49,39,100,6.97,MX,1701463669
11,tiksi,71.6872,128.8694,239.42,100,89,2.8,RU,1701463670
12,port-aux-francais,-49.35,70.2167,276.54,79,90,11.24,TF,1701463670
13,topolobampo,25.6,-109.05,298.1,31,20,5.66,MX,1701463670
14,colonia,50.9333,6.95,273.47,75,100,3.09,DE,1701463393
15,bilibino,68.0546,166.4372,248.66,91,100,1.6,RU,1701463542
16,gadzhiyevo,69.2551,33.3362,258.75,99,94,1.8,RU,1701463671
17,hawaiian paradise park,19.5933,-154.9731,297.61,94,100,3.6,US,1701463671
18,walvis bay,-22.9575,14.5053,291.53,79,93,6.91,NA,1701463671
19,lata,40.1629,-8.3327,285.27,89,32,0.65,PT,1701463671
20,hamilton,39.1834,-84.5333,284.02,94,100,3.09,US,1701463581
21,lihue,21.9789,-159.3672,295.92,88,100,3.6,US,1701463672
22,bredasdorp,-34.5322,20.0403,290.31,73,60,1.88,ZA,1701463672
23,uturoa,-16.7333,-151.4333,300.33,81,19,8.31,PF,1701463672
24,grytviken,-54.2811,-36.5092,276.9,66,2,5.65,GS,1701463672
25,olonkinbyen,70.9221,-8.7187,271.11,71,100,4.67,SJ,1701463673
26,invercargill,-46.4,168.35,286.52,60,100,0.99,NZ,1701463654
27,jamestown,42.097,-79.2353,278.92,99,100,2.57,US,1701463673
28,stanley,54.868,-1.6985,270.77,100,20,2.06,GB,1701463662
29,san ignacio,17.1561,-89.0714,304.23,74,40,0.0,BZ,1701463674
30,cedeira,43.6797,-8.0209,283.69,78,98,4.58,ES,1701463674
31,masterton,-40.9597,175.6575,290.31,58,95,2.01,NZ,1701463674
32,wailua homesteads,22.0669,-159.378,295.59,88,100,3.6,US,1701463649
33,piikkio,60.4248,22.516,265.63,91,100,2.57,FI,1701463674
